id;street_name;location;city;state;coordinates;bedrooms;baths;onsite_services;amenities;house_rules;title;description;images;rating;review
1;K.B.jacob Road;Kadathanad;Cochin;Kerala;9.9312|76.2673;3;3;cook/cleaning;air conditioning/hot water/kitchen/parking;We have spacious open roof, from which the sunset is visible. We have a lawn and a garden pond with a variety of ornamental fish.;Beena Homestay;Spice Market, Dutch palace, and St. Frances and Santacruz Basilica. We have accessible roads, to ferry, aerodrome and railway station.We serve homely south indian food, both veg and non veg, which we cook with our heart and serve with pleasure.;Beena1.jpg,Beena2.jpg,Beena3.jpg,Beena4,jpg, Beena.jpg;1;17
2;Walton Hall;Princess Street;Cochin;Kerala;9.9312|76.2673;2;2;cook/laundry/cleaning;cable or satellite tv/internet/hot water/kitchen/parking/washer dryer;The twin Ensuite rooms capable of accommodating two families, are clean and comfortable;Walton's Home Stay;its traditional cuisine and the warm and friendly ways of the villagers .;Walton1.jpg,Walton2.jpg,Walton3.jpg,Walton4.jpg,Walton.jpg;2;12
3;LILLY STREET;Fort Cochin;Cochin;Kerala;9.9312|76.2673;4;8;cook/laundry/cleaning;internet/air conditioning/hot water/kitchen/parking;he historic St. Francis Church, the burial ground of Vasco Da Gama. You find yourself within shouting distance of the Chinese fishing nets and the entrance to the harbour.;Chiramel Residency;A backyard garden, a common roof top garden open round the clock.The rooms are large, spacious with teak wood floor, high, lofty, teak wood ceiling, each with attached european toilets with hot and cold showers, rooms with bath tubs and sit outs.;Chiramel1.jpg, Chiramel2.jpg, Chiramel3.jpg,Chiramel4.jpg,Chiramel.jpg;3;0
4;Kolagapara; Sultan Battery; Wayanad;Kerala;11.6641|76.2653;3;6;cook/laundry/cleaning;television/cable or satellite tv/internet/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer;The “Machaan” or Treedeck overlooking the pool is ideal to do your yoga and meditate, or for that afternoon siesta. One can relax in the hammocks below the “Machaan” area.;Tranquil;Set close to the swimming pool, the Suite is tucked away below the Deluxe room. The Suite offers both space and privacy with the added luxury of a private garden offering the perfect hideaway.;Tranquil1.jpg,Tranquil2.jpg,Tranquil3.jpg,Tranquil4.jpg,Tranquil.jpg;4;50
5;Quail Hill; Upper Coonoor;Nilgiris;Tamil Nadu;11.3484|76.7937;2;4;cook/laundry/cleaning;television/cable or satellite tv/internet/air conditioning/hot water/kitchen/parking;Coonoor as a hill resort has many things going for it. those very features that set it apart as a more sought-after holiday destination;Orange Mist;Coonoor, near Ooty, is also great when it comes to bird watching. A rich variety of bird species, such as cormorants, thrushes, exotic parakeets, skylarks, and so on, can be sighted in and around Coonoor and the Nilgiris;Orange1.jpg,Orange2.jpg,Orange3.jpg,Orange4.jpg,Orange.jpg;5;7
6;Club Road;Kotagiri;Nilgris;Tamil Nadu;11.4203|76.8602;3;3;cook/cleaning;television/hot water/kitchen/parking;we provide all types of foods like veg, non-veg, chinese and continental which were prepared in a homely preparation.;Belair Cottage;ll famous for their natural beauty. Kotagiri Roads are finest. One hour drive from Mettupalayam railway station.;Cottage1.jpg,Cottage2.jpg,Cottage3.jpg,Cottage4.jpg,Cottage.jpg;1;41
7;Ottupattarai;Coonoor; Oootacamund;Tamil Nadu;11.3484|76.7937;4;8;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer/gym;Sunvalley Homestay is one of the best high class homestays around Ooty / Coonoor and is best for family & friends gathering and executive corporate team building events;Sunvalley homestay;We created the best homestay venue and great home cooked foods specially prepared for you. Enjoy your holiday at our cottage in Ooty, one of the best among other hotels and resorts in and around Ooty or coonoor;Sunvalley1.jpg,Sunvalley2.jpg,Sunvalley3.jpg,Sunvalley.jpg;2;6
8;Club Road;Coonoor; Ootacamund;Tamil Nadu;11.3484|76.7937;3;6;cook/laundry/cleaning;hot water/kitchen/parking;The Nilgiris, in the beautiful, small and clean city of COONOOR, we provide u with handsome and hand-some package of this ethnic and non-commercial tourism.;The Devashola;It is a fact that we have forgotten to laugh at ourselves, to enjoy the small beauties and joys of life, to get in touch with ourselves.;Devashola1.jpg,Devashola2.jpg,Devashola3.png,Devashola4.png,Devashola.jpg;3;31
9;3rd Main 4th block;Rajaji Nagar;Bangalore;Karnataka;12.9906|77.5533;4;4;cook/laundry/cleaning;hot water/kitchen/parking;A friendly warning to all concerned: One trip to Coorg (Kodagu) and it’ll haunt you for the rest of your life. You might leave Coorg;Nature Nest;Coorg is on the Western Ghats. Set amidst verdant valleys, imposing mountains and teak wood forests, this is one of the most beautiful hill stations you can visit;Nature1.jpg,Nature2.jpg,Nature3.jpg,Nature4.jpg,Nature.jpg;4;47
10;Main Street;Fort Cochin;Cochin;Kerala;9.9312|76.2673;3;3;cook/laundry/cleaning;hot water/kitchen/parking/washer dryer;n every nook of its spacious rooms and in every beam of polished wood. The grandeur and sateliness of a bygone era are evident;Kimansion;The approach to Kimansion is nothing short of picturesque. Set in a somnolent quarter of Fort Kochi, it is short walk from the beach;Kimansion1.jpg,Kimansion2.jpg,Kimansion3.jpg,Kimansion4.jpg,Kimansion.jpg;5;36
11;Federal Bank ATM Building;Kunnumpuram;Cochin;Kerala;9.9312|76.2673;5;3;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer;Hotel accommodation in Fort kochi, Homestay in Cochin. Cheaper than a Hotel in Kochi, better than a Hostel in Fortkochi. Sajhome is centrally located in the heart of Fort kochi;Saj Homestay;Hotel accommodation in Fort kochi, Homestay in Cochin. Cheaper than a Hotel in Kochi, better than a Hostel in Fortkochi. Sajhome is centrally located in the heart of Fort kochi;Saj1.jpg,Saj2.jpg,Saj3.jpg,Saj4.jpg,Saj.jpg;1;8
12;Potta Ashram Rd; Chalakudy;Cochin;Kerala;10.3080|76.3337 ;8;8;cook/laundry/cleaning;hot water/kitchen/parking;sanitation and transport facilities. He has confidence in meeting such requirements.;Ecogreen Cocoa County;Make our home yours for the duration of your stay. Our aim is to make your stay with us as enjoyable as possible. We look forward to meeting many new friends.;Ecogreen1.jpg,Ecogreen2.jpg,Ecogreen3.jpg,Ecogreen4.jpg,Ecogreen.jpg;2;24
13;Njaliparambu Junction;Njaliparambu Junction;Cochin;Kerala;9.9312|76.2673;4;4;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer;All modern amenities are at hand. Every effort has been taken to make guests feel that they are still at home all the while they stay at Daffodil Homestay.;Daffodil Homestay;The friendly folks at Daffodil see themselves as privileged ambassadors of this land renowned as “God’s Own Country”. They go out of their way to make sure that every guest returns home with pleasant memories to cherish and to beckon them back here again.;Daffodil1.jpg,Daffodil2.jpg,Daffodil3.jpg,Daffodil4.jpg,Daffodil.jpg;3;16
14;Kumbalangi P.O.;Kumblangi;Cochin;Kerala;9.9312|76.2673;8;4;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer/gym;A ring of Chinese fishing nets literally encircle the island –village bearing witness to the rich aquatic life. An array of mangroves separate land from water providing a breeding ground for prawns, crabs, oysters and other varieties of fishes;Kumbalangi;West Wind is a cool and peaceful heaven providing a wide angle view of country boats wafting all across the backwater. The sunset at the fag end of the day can be better viewed lying in the hammocks placed in our courtyard.;Kumbalangi1.jpg,Kumbalangi2.jpg,Kumbalangi3.jpg,Kumbalangi4.jpg,Kumbalangi.jpg;4;32
15;Golf Club Road; Finger Post;Ootacamund;Tamil Nadu;11.4157|76.6824;6;4;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/kitchen/parking;the Ootacamund Gymkhana Club situated within 200 metres offers splendid Golfing.;GLYNGARTH VILLA;The facilities include log fire, same day laundry service, mini library, doctor on call and cards room. Forex services are available in Ooty town.;VILLA1.jpg,VILLA2.jpg,VILLA3.jpg,VILLA4.jpg,VILLA.jpg;5;16
